"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0G860","2020-04-09 00:00:00","45.000","0.000","0.100","20.100","0.860","1010.600","","0.000","-99.000","-99.000","-99.000","25.600","","15.900",""
"C0Z250","2020-04-09 00:00:00","1124.000","0.000","0.100","13.600","0.990","892.700","","3.000","-99.000","-99.000","-99.000","17.400","","12.200",""
"C0K440","2020-04-09 00:00:00","35.000","0.000","0.200","18.800","0.990","1012.700","","0.000","-99.000","-99.000","-99.000","23.800","","15.200",""
"C0T900","2020-04-09 00:00:00","160.000","0.000","0.200","18.700","0.880","997.600","","0.000","-99.000","-99.000","-99.000","24.000","","16.200",""
"C0F9V0","2020-04-09 00:00:00","525.000","166.000","1.500","18.400","0.930","957.300","","0.000","-99.000","-99.000","-99.000","23.100","","15.300",""
"C0UA20","2020-04-09 00:00:00","2619.000","203.000","4.800","5.400","0.930","-99.000","","0.000","-99.000","-99.000","-99.000","13.500","","3.900",""
"C0M850","2020-04-09 00:00:00","695.000","0.000","0.000","17.500","0.980","937.700","","0.000","-99.000","-99.000","-99.000","24.600","","16.400",""
"C0C620","2020-04-09 00:00:00","19.000","56.000","1.400","20.400","0.840","1013.800","","0.000","-99.000","-99.000","-99.000","21.600","","17.800",""
"C0I360","2020-04-09 00:00:00","300.000","0.000","0.000","19.300","0.890","981.100","","0.000","-99.000","-99.000","-99.000","23.500","","15.900",""
"C0M810","2020-04-09 00:00:00","1354.000","0.000","0.000","13.700","0.990","868.500","","0.000","-99.000","-99.000","-99.000","19.200","","12.200",""
"C0AC80","2020-04-09 00:00:00","40.000","116.000","0.600","18.100","0.850","1012.800","","0.000","-99.000","-99.000","-99.000","19.400","","15.700",""
"CM0140","2020-04-09 00:00:00","26.000","20.000","0.700","21.800","0.730","1014.300","","0.000","-99.000","-99.000","-99.000","24.200","","20.600",""
